size,latency_p50_ms,latency_p95_ms,latency_p99_ms,embeddings_plus_index_ram_mb,recall@1,recall@5,recall@10,mrr@10
1000,1.08,1.64,2.22,7.25,0.84,0.95,0.96,0.8948
10000,8.27,16.74,25.38,-28.399999999999864,0.76,0.9,0.96,0.8228
100000,91.85,201.68,275.35,665.47,0.61,0.78,0.87,0.6838
300000,274.07,603.83,837.76,1343.2600000000002,0.51,0.7,0.79,0.5934
