size,latency_p50_ms,latency_p95_ms,latency_p99_ms,embeddings_plus_index_ram_mb,recall@1,recall@5,recall@10,mrr@10
1000,0.04,0.05,0.06,1.9800000000000182,0.98,1.0,1.0,0.99
10000,0.1,0.14,0.19,32.710000000000036,0.96,0.97,0.99,0.9671
100000,0.24,0.32,0.39,315.0,0.89,0.93,0.94,0.9079
300000,0.25,0.33,0.35,1004.1000000000001,0.77,0.9,0.93,0.8279
